codmun6;estabelecimentomunicipio-jul2023;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;CONSULTORIO ISOLADO;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;POLO ACADEMIA DA SAUDE;TELESSAUDE;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRO DE IMUNIZACAO;POLICLINICA;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRO DE ATENCAO PSICOSSOCIAL;PRONTO ATENDIMENTO;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE ABASTECIMENTO;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL
220320;220320 CURIMATA;17;9;4;4;3;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-
220323;220323 CURRAIS;7;4;1;2;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220325;220325 CURRALINHOS;5;3;1;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220327;220327 CURRAL NOVO DO PIAUI;8;6;1;1;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220330;220330 DEMERVAL LOBAO;15;9;2;4;-;6;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-
220335;220335 DIRCEU ARCOVERDE;9;4;3;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220340;220340 DOM EXPEDITO LOPES;10;8;1;1;4;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220342;220342 DOMINGOS MOURAO;4;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220345;220345 DOM INOCENCIO;10;6;2;2;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220350;220350 ELESBAO VELOSO;19;12;4;3;-;10;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
220360;220360 ELISEU MARTINS;7;4;1;2;-;3;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220370;220370 ESPERANTINA;44;23;16;5;-;19;1;-;-;-;-;-;-;3;-;-;-;1;-;-;-;8;5;-;-;-;1;-;-;-;-;-;1;2;-;2;-;1;-;-;-;-
220375;220375 FARTURA DO PIAUI;5;3;1;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220380;220380 FLORES DO PIAUI;9;4;3;2;1;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220385;220385 FLORESTA DO PIAUI;2;1;1;0;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
220390;220390 FLORIANO;160;78;73;9;-;25;44;-;-;4;1;-;-;3;-;-;1;1;-;-;-;57;8;-;-;1;2;1;1;-;-;1;1;2;2;3;-;2;-;-;-;-
220400;220400 FRANCINOPOLIS;10;7;2;1;4;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220410;220410 FRANCISCO AYRES;9;5;2;2;2;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220415;220415 FRANCISCO MACEDO;4;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220420;220420 FRANCISCO SANTOS;13;8;4;1;-;5;-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220430;220430 FRONTEIRAS;15;9;4;2;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
220435;220435 GEMINIANO;6;3;2;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220440;220440 GILBUES;15;10;2;3;6;2;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-
220450;220450 GUADALUPE;18;5;10;3;-;5;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;4;3;-;-;-;1;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-
220455;220455 GUARIBAS;4;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220460;220460 HUGO NAPOLEAO;9;7;1;1;2;3;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220465;220465 ILHA GRANDE;11;7;3;1;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220470;220470 INHUMA;22;13;7;2;2;8;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;4;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220480;220480 IPIRANGA DO PIAUI;21;13;6;2;6;5;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220490;220490 ISAIAS COELHO;12;9;2;1;-;4;-;-;1;-;1;-;-;3;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220500;220500 ITAINOPOLIS;13;7;3;3;5;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-
220510;220510 ITAUEIRA;14;6;3;5;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;3;-;1;-;-;-;-
220515;220515 JACOBINA DO PIAUI;9;6;2;1;-;3;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220520;220520 JAICOS;19;10;5;4;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;1;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-
220525;220525 JARDIM DO MULATO;14;11;2;1;-;8;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220527;220527 JATOBA DO PIAUI;7;5;1;1;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220530;220530 JERUMENHA;7;5;1;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220535;220535 JOAO COSTA;7;5;1;1;1;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220540;220540 JOAQUIM PIRES;9;7;1;1;-;7;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220545;220545 JOCA MARQUES;9;5;2;2;-;3;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-
220550;220550 JOSE DE FREITAS;37;25;9;3;4;20;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;5;2;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
220551;220551 JUAZEIRO DO PIAUI;6;4;1;1;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220552;220552 JULIO BORGES;9;5;2;2;3;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220553;220553 JUREMA;6;3;2;1;-;1;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220554;220554 LAGOINHA DO PIAUI;8;5;2;1;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220555;220555 LAGOA ALEGRE;7;4;2;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220556;220556 LAGOA DO BARRO DO PIAUI;11;8;1;2;5;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220557;220557 LAGOA DE SAO FRANCISCO;6;3;2;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
220558;220558 LAGOA DO PIAUI;5;3;1;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220559;220559 LAGOA DO SITIO;18;15;2;1;8;4;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220560;220560 LANDRI SALES;9;6;1;2;1;3;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
220570;220570 LUIS CORREIA;27;17;7;3;-;15;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;4;1;-;-;-;1;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-
220580;220580 LUZILANDIA;23;16;5;2;-;14;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
220585;220585 MADEIRO;8;5;1;2;-;4;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220590;220590 MANOEL EMIDIO;11;7;2;2;2;4;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220595;220595 MARCOLANDIA;9;4;3;2;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
220600;220600 MARCOS PARENTE;5;3;1;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220605;220605 MASSAPE DO PIAUI;10;8;1;1;3;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220610;220610 MATIAS OLIMPIO;8;6;2;0;4;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-
220620;220620 MIGUEL ALVES;27;20;5;2;6;10;-;-;1;-;1;-;-;2;-;-;-;-;1;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220630;220630 MIGUEL LEAO;5;3;1;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220635;220635 MILTON BRANDAO;8;6;1;1;2;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220640;220640 MONSENHOR GIL;11;6;3;2;1;5;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220650;220650 MONSENHOR HIPOLITO;13;9;2;2;-;7;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220660;220660 MONTE ALEGRE DO PIAUI;11;7;3;1;2;4;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
220665;220665 MORRO CABECA NO TEMPO;6;4;1;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220667;220667 MORRO DO CHAPEU DO PIAUI;9;7;1;1;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220669;220669 MURICI DOS PORTELAS;7;5;1;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220670;220670 NAZARE DO PIAUI;14;10;2;2;1;8;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220672;220672 NAZARIA;8;5;1;2;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220675;220675 NOSSA SENHORA DE NAZARE;5;3;1;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220680;220680 NOSSA SENHORA DOS REMEDIOS;9;6;2;1;-;5;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
220690;220690 NOVO ORIENTE DO PIAUI;12;9;2;1;5;3;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220695;220695 NOVO SANTO ANTONIO;9;7;1;1;2;2;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220700;220700 OEIRAS;76;40;29;7;8;20;10;-;-;-;-;1;-;1;-;-;-;-;-;-;-;13;11;-;-;-;2;1;-;-;-;1;1;2;-;4;-;1;-;-;-;-
220710;220710 OLHO D'AGUA DO PIAUI;8;6;1;1;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220720;220720 PADRE MARCOS;11;8;2;1;1;6;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220730;220730 PAES LANDIM;9;4;3;2;3;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220735;220735 PAJEU DO PIAUI;8;7;0;1;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220740;220740 PALMEIRA DO PIAUI;12;8;2;2;3;4;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220750;220750 PALMEIRAIS;16;10;3;3;-;8;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
220755;220755 PAQUETA;6;4;1;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220760;220760 PARNAGUA;16;10;4;2;1;6;-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220770;220770 PARNAIBA;207;97;98;12;2;35;48;-;-;3;3;-;-;5;1;-;-;17;-;1;-;42;32;1;-;2;2;-;-;-;-;1;-;6;1;2;-;1;-;1;1;-
220775;220775 PASSAGEM FRANCA DO PIAUI;5;2;2;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220777;220777 PATOS DO PIAUI;5;3;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220779;220779 PAU D'ARCO DO PIAUI;9;7;1;1;3;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220780;220780 PAULISTANA;50;24;22;4;-;10;-;-;-;10;1;2;-;1;-;-;-;-;-;-;-;13;4;-;-;-;4;-;-;-;-;-;1;2;-;1;-;1;-;-;-;-
220785;220785 PAVUSSU;4;2;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220790;220790 PEDRO II;37;23;10;4;4;15;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;4;4;-;-;-;1;-;-;-;-;-;1;2;-;1;-;1;-;-;-;-
220793;220793 PEDRO LAURENTINO;6;4;1;1;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220795;220795 NOVA SANTA RITA;5;2;2;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220800;220800 PICOS;382;157;214;11;4;32;70;-;-;48;2;-;-;1;-;-;-;2;-;-;-;184;25;-;-;-;2;-;-;-;-;-;1;5;1;3;-;1;-;-;1;-
220810;220810 PIMENTEIRAS;19;13;5;1;9;1;-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220820;220820 PIO IX;16;10;3;3;-;8;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
220830;220830 PIRACURUCA;30;17;10;3;1;13;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;2;5;-;-;-;1;-;-;-;-;-;1;1;1;-;-;1;-;-;-;-
220840;220840 PIRIPIRI;92;47;40;5;-;31;4;-;2;3;1;-;-;5;1;-;-;4;-;-;-;18;15;-;-;-;2;-;-;-;-;-;1;1;-;2;-;1;-;-;1;-
220850;220850 PORTO;14;10;1;3;-;7;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
220855;220855 PORTO ALEGRE DO PIAUI;4;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220860;220860 PRATA DO PIAUI;7;4;2;1;-;2;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220865;220865 QUEIMADA NOVA;12;7;3;2;-;5;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-
220870;220870 REDENCAO DO GURGUEIA;10;7;1;2;3;3;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220880;220880 REGENERACAO;16;11;2;3;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
220885;220885 RIACHO FRIO;7;4;1;2;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220887;220887 RIBEIRA DO PIAUI;7;5;1;1;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220890;220890 RIBEIRO GONCALVES;9;4;2;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-
220900;220900 RIO GRANDE DO PIAUI;12;6;4;2;1;4;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220910;220910 SANTA CRUZ DO PIAUI;10;4;4;2;3;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220915;220915 SANTA CRUZ DOS MILAGRES;6;4;1;1;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220920;220920 SANTA FILOMENA;9;6;1;2;-;3;-;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220930;220930 SANTA LUZ;9;7;1;1;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220935;220935 SANTANA DO PIAUI;7;5;1;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220937;220937 SANTA ROSA DO PIAUI;7;4;2;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220940;220940 SANTO ANTONIO DE LISBOA;11;6;3;2;3;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220945;220945 SANTO ANTONIO DOS MILAGRES;7;5;1;1;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220950;220950 SANTO INACIO DO PIAUI;7;3;2;2;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
220955;220955 SAO BRAZ DO PIAUI;5;3;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220960;220960 SAO FELIX DO PIAUI;6;3;2;1;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220965;220965 SAO FRANCISCO DE ASSIS DO PIAUI;7;3;3;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220970;220970 SAO FRANCISCO DO PIAUI;11;7;1;3;2;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-
220975;220975 SAO GONCALO DO GURGUEIA;3;2;0;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220980;220980 SAO GONCALO DO PIAUI;5;2;2;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220985;220985 SAO JOAO DA CANABRAVA;7;5;1;1;1;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220987;220987 SAO JOAO DA FRONTEIRA;5;3;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220990;220990 SAO JOAO DA SERRA;7;4;2;1;2;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220995;220995 SAO JOAO DA VARJOTA;10;8;1;1;5;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
220997;220997 SAO JOAO DO ARRAIAL;12;10;1;1;5;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
