codmun6;estabelecimentomunicipio-jul2023;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;CONSULTORIO ISOLADO;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;POLO ACADEMIA DA SAUDE;TELESSAUDE;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRO DE IMUNIZACAO;POLICLINICA;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRO DE ATENCAO PSICOSSOCIAL;PRONTO ATENDIMENTO;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE ABASTECIMENTO;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL
110032;110032 SAO MIGUEL DO GUAPORE;71;54;13;4;4;2;33;-;1;12;2;-;-;-;-;-;-;-;-;-;-;5;6;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;1;-;1;-
110033;110033 NOVA MAMORE;21;11;8;2;3;3;2;-;-;-;2;-;1;-;-;-;-;-;-;-;-;3;3;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-
110034;110034 ALVORADA D'OESTE;36;25;9;2;-;7;14;-;-;3;1;-;-;-;-;-;-;-;1;-;-;3;3;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-
110037;110037 ALTO ALEGRE DOS PARECIS;27;19;5;3;-;6;2;-;1;7;1;-;-;1;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;2;-;1;-;-;-;1;-;-;1;-
110040;110040 ALTO PARAISO;21;13;6;2;2;5;3;-;-;1;1;-;-;-;-;1;-;-;-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110045;110045 BURITIS;44;24;13;7;-;5;11;-;-;3;4;-;-;-;-;-;1;1;-;-;-;2;7;-;-;-;1;-;-;-;-;1;1;3;-;2;-;1;1;-;-;-
110050;110050 NOVO HORIZONTE DO OESTE;7;3;1;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;1;-
110060;110060 CACAULANDIA;9;6;1;2;2;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-
110070;110070 CAMPO NOVO DE RONDONIA;15;8;4;3;-;4;1;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;2;-;1;-;-;-;-
110080;110080 CANDEIAS DO JAMARI;21;13;7;1;5;1;-;-;-;4;2;1;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-
110090;110090 CASTANHEIRAS;9;4;4;1;-;2;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-
110092;110092 CHUPINGUAIA;24;17;5;2;-;5;6;-;-;1;2;1;2;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-
110094;110094 CUJUBIM;13;7;2;4;1;2;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-
110100;110100 GOVERNADOR JORGE TEIXEIRA;10;5;4;1;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-
110110;110110 ITAPUA DO OESTE;11;5;4;2;-;2;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110120;110120 MINISTRO ANDREAZZA;12;8;2;2;-;2;3;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-
110130;110130 MIRANTE DA SERRA;14;8;4;2;-;2;3;-;-;1;1;-;-;-;-;-;1;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110140;110140 MONTE NEGRO;24;17;4;3;-;7;4;-;-;4;2;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;1;-
110143;110143 NOVA UNIAO;11;5;3;3;-;1;1;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-
110145;110145 PARECIS;8;4;3;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110146;110146 PIMENTEIRAS DO OESTE;6;2;2;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-
110147;110147 PRIMAVERA DE RONDONIA;5;3;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-
110148;110148 SAO FELIPE D'OESTE;8;3;3;2;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-
110149;110149 SAO FRANCISCO DO GUAPORE;29;18;6;5;-;6;9;-;-;1;1;-;-;1;-;-;-;-;-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;1
110150;110150 SERINGUEIRAS;22;17;2;3;-;3;10;-;-;2;1;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-
110155;110155 TEIXEIROPOLIS;6;3;2;1;-;1;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110160;110160 THEOBROMA;12;8;2;2;3;2;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-
110170;110170 URUPA;17;13;2;2;-;3;8;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110175;110175 VALE DO ANARI;11;7;2;2;1;3;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110180;110180 VALE DO PARAISO;9;5;3;1;-;2;1;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
120001;120001 ACRELANDIA;16;8;6;2;-;6;-;-;-;-;1;-;-;1;-;-;-;2;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-
120005;120005 ASSIS BRASIL;11;6;3;2;-;3;-;-;-;1;-;-;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-
120010;120010 BRASILEIA;24;14;6;4;-;9;1;-;-;1;2;-;-;-;-;-;1;-;-;-;-;1;3;-;-;-;1;-;-;-;-;-;1;1;-;1;-;1;1;-;-;-
120013;120013 BUJARI;10;6;2;2;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-
120017;120017 CAPIXABA;13;9;2;2;-;5;-;-;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-
120020;120020 CRUZEIRO DO SUL;128;74;41;13;10;26;19;1;3;3;6;-;3;1;-;1;1;1;1;-;-;22;11;-;-;-;2;1;-;-;1;-;2;2;2;4;-;2;1;1;1;-
120025;120025 EPITACIOLANDIA;16;11;3;2;-;8;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-
120030;120030 FEIJO;18;13;2;3;-;8;-;1;-;-;1;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-
120032;120032 JORDAO;10;6;3;1;-;3;-;-;1;-;-;-;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
120033;120033 MANCIO LIMA;25;17;5;3;2;9;-;-;-;-;1;-;2;2;-;1;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-
