codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;CONSULTORIO ISOLADO;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;POLO ACADEMIA DA SAUDE;TELESSAUDE;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;POLICLINICA;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRO DE ATENCAO PSICOSSOCIAL;PRONTO ATENDIMENTO;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL
240700;240700 LUIS GOMES;9;7;1;1;4;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240710;240710 MACAIBA;57;33;15;9;6;23;2;-;2;-;-;-;-;-;-;-;4;-;-;-;8;-;-;-;-;2;1;-;-;-;-;1;-;5;-;1;-;1;1;-
240720;240720 MACAU;35;24;9;2;1;9;11;-;-;1;1;-;-;1;-;-;1;1;-;-;2;3;-;-;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-
240725;240725 MAJOR SALES;7;5;1;1;-;4;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240730;240730 MARCELINO VIEIRA;5;4;0;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240740;240740 MARTINS;11;8;1;2;5;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
240750;240750 MAXARANGUAPE;8;5;2;1;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240760;240760 MESSIAS TARGINO;6;3;2;1;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
240770;240770 MONTANHAS;8;5;2;1;1;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
240780;240780 MONTE ALEGRE;23;18;3;2;6;10;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-
240790;240790 MONTE DAS GAMELEIRAS;4;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240800;240800 MOSSORO;375;186;172;17;-;49;133;-;-;2;1;-;-;-;1;-;2;-;-;-;132;28;-;-;1;4;3;1;-;-;1;6;4;3;-;1;1;1;1;-
240810;240810 NATAL;1688;1154;471;63;2;55;1088;-;6;1;2;-;-;-;-;-;7;2;1;5;314;110;6;-;10;5;4;6;-;-;1;13;18;18;-;8;2;1;2;1
240820;240820 NISIA FLORESTA;26;19;5;2;6;12;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-
240830;240830 NOVA CRUZ;36;26;7;3;9;15;1;-;-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
240840;240840 OLHO-D'AGUA DO BORGES;7;5;1;1;2;1;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240850;240850 OURO BRANCO;5;2;2;1;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240860;240860 PARANA;6;4;1;1;1;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240870;240870 PARAU;2;1;0;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240880;240880 PARAZINHO;6;3;2;1;-;2;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240890;240890 PARELHAS;38;23;13;2;11;4;5;-;-;1;1;-;-;1;-;-;2;2;-;-;2;6;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-
240895;240895 RIO DO FOGO;13;9;2;2;2;5;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-
240910;240910 PASSA E FICA;14;9;3;2;-;8;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
240920;240920 PASSAGEM;5;4;0;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240930;240930 PATU;12;9;1;2;3;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
240933;240933 SANTA MARIA;6;5;0;1;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240940;240940 PAU DOS FERROS;98;33;58;7;-;12;17;-;-;2;1;-;-;1;-;-;-;2;-;-;22;31;-;-;-;1;-;-;-;1;1;1;1;2;-;2;-;-;1;-
240950;240950 PEDRA GRANDE;6;5;0;1;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240960;240960 PEDRA PRETA;4;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240970;240970 PEDRO AVELINO;7;6;0;1;1;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240980;240980 PEDRO VELHO;10;8;1;1;1;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
240990;240990 PENDENCIAS;12;7;4;1;1;5;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241000;241000 PILOES;7;4;2;1;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241010;241010 POCO BRANCO;11;8;1;2;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
241020;241020 PORTALEGRE;16;9;6;1;6;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241025;241025 PORTO DO MANGUE;5;3;1;1;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-
241030;241030 SERRA CAIADA;10;8;1;1;3;4;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241040;241040 PUREZA;8;6;1;1;2;2;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241050;241050 RAFAEL FERNANDES;8;4;3;1;1;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241060;241060 RAFAEL GODEIRO;7;4;0;3;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-
241070;241070 RIACHO DA CRUZ;5;3;1;1;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241080;241080 RIACHO DE SANTANA;8;6;1;1;2;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241090;241090 RIACHUELO;6;4;1;1;2;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241100;241100 RODOLFO FERNANDES;6;4;1;1;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241105;241105 TIBAU;9;4;4;1;-;3;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241110;241110 RUY BARBOSA;8;5;2;1;-;3;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241120;241120 SANTA CRUZ;36;18;14;4;4;7;3;-;1;-;1;1;-;1;-;-;3;-;-;-;7;2;-;-;-;2;-;-;-;-;-;1;1;1;-;1;-;-;-;-
241140;241140 SANTANA DO MATOS;14;11;2;1;4;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241142;241142 SANTANA DO SERIDO;5;3;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241150;241150 SANTO ANTONIO;27;17;7;3;4;11;1;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;1;1;-;-;-;1;1;-;1;-;1;-;-;-;-
241160;241160 SAO BENTO DO NORTE;4;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241170;241170 SAO BENTO DO TRAIRI;5;3;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241180;241180 SAO FERNANDO;8;6;1;1;1;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241190;241190 SAO FRANCISCO DO OESTE;4;3;0;1;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241200;241200 SAO GONCALO DO AMARANTE;62;45;12;5;4;30;7;-;-;1;2;-;-;1;-;-;2;-;-;-;9;-;-;-;-;1;-;-;-;-;-;1;-;2;-;1;-;-;1;-
241210;241210 SAO JOAO DO SABUGI;7;5;1;1;1;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241220;241220 SAO JOSE DE MIPIBU;36;19;14;3;1;16;-;-;-;-;-;-;-;2;-;-;-;-;-;-;11;-;-;-;-;1;1;-;-;-;1;1;-;1;-;1;-;-;-;-
241230;241230 SAO JOSE DO CAMPESTRE;10;5;3;2;1;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
241240;241240 SAO JOSE DO SERIDO;5;3;1;1;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241250;241250 SAO MIGUEL;26;15;9;2;9;5;-;-;-;-;1;-;-;-;-;-;-;2;-;-;4;1;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;1
241255;241255 SAO MIGUEL DO GOSTOSO;6;4;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241260;241260 SAO PAULO DO POTENGI;26;14;10;2;3;8;2;-;-;-;-;-;-;1;-;-;1;-;-;-;5;3;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
241270;241270 SAO PEDRO;9;7;1;1;6;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241280;241280 SAO RAFAEL;7;5;0;2;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
241290;241290 SAO TOME;12;10;1;1;4;4;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241300;241300 SAO VICENTE;11;8;2;1;5;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241310;241310 SENADOR ELOI DE SOUZA;9;7;1;1;3;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241320;241320 SENADOR GEORGINO AVELINO;6;3;2;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241330;241330 SERRA DE SAO BENTO;7;5;1;1;1;2;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241335;241335 SERRA DO MEL;12;8;3;1;3;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241340;241340 SERRA NEGRA DO NORTE;19;13;4;2;9;2;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-
241350;241350 SERRINHA;5;4;0;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241355;241355 SERRINHA DOS PINTOS;8;4;3;1;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241360;241360 SEVERIANO MELO;12;9;2;1;2;4;1;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241370;241370 SITIO NOVO;6;4;1;1;-;3;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241380;241380 TABOLEIRO GRANDE;5;3;1;1;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241390;241390 TAIPU;9;6;2;1;3;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241400;241400 TANGARA;10;8;0;2;-;7;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
241410;241410 TENENTE ANANIAS;10;5;3;2;1;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-
241415;241415 TENENTE LAURENTINO CRUZ;11;7;3;1;4;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241420;241420 TIBAU DO SUL;11;8;2;1;1;6;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241430;241430 TIMBAUBA DOS BATISTAS;3;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241440;241440 TOUROS;28;19;6;3;14;2;-;-;-;1;1;-;-;1;-;-;-;-;-;-;5;-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
241445;241445 TRIUNFO POTIGUAR;5;2;2;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241450;241450 UMARIZAL;17;12;4;1;-;11;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241460;241460 UPANEMA;16;14;1;1;3;8;1;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241470;241470 VARZEA;4;3;0;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241475;241475 VENHA-VER;6;4;1;1;1;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241480;241480 VERA CRUZ;13;9;3;1;-;6;-;-;-;1;-;-;-;2;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
241490;241490 VICOSA;6;3;1;2;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-
241500;241500 VILA FLOR;5;3;0;2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
250010;250010 AGUA BRANCA;16;10;3;3;-;5;1;-;-;1;1;1;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-
250020;250020 AGUIAR;12;5;4;3;-;2;-;-;-;1;1;-;-;1;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
250030;250030 ALAGOA GRANDE;27;15;7;5;-;12;-;-;-;-;2;1;-;-;-;-;1;-;-;-;1;4;-;-;-;1;-;-;-;-;-;1;-;2;-;1;-;-;1;-
250040;250040 ALAGOA NOVA;20;12;6;2;2;8;-;-;-;1;-;1;-;-;-;-;1;1;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-
250050;250050 ALAGOINHA;19;14;3;2;1;7;1;-;-;1;1;1;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-
250053;250053 ALCANTIL;9;4;3;2;-;3;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-
250057;250057 ALGODAO DE JANDAIRA;8;4;3;1;1;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250060;250060 ALHANDRA;24;14;6;4;-;9;2;-;-;-;-;1;-;-;-;2;1;-;-;-;2;2;-;-;-;1;-;-;-;-;-;1;-;2;-;1;-;-;-;-
250070;250070 SAO JOAO DO RIO DO PEIXE;24;13;7;4;-;8;3;-;-;-;1;1;-;-;-;-;-;-;-;-;3;2;-;-;-;1;-;-;-;-;1;1;-;1;-;1;-;-;1;-
250073;250073 AMPARO;8;5;2;1;2;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250077;250077 APARECIDA;9;6;2;1;2;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250080;250080 ARACAGI;21;14;6;1;2;9;-;-;-;-;-;1;-;2;-;-;1;1;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250090;250090 ARARA;11;7;1;3;-;5;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
250100;250100 ARARUNA;27;13;10;4;-;9;-;-;-;1;1;1;-;1;-;-;2;-;1;-;4;2;-;-;-;1;-;-;-;-;-;-;-;2;-;1;-;-;1;-
250110;250110 AREIA;24;16;5;3;1;11;3;-;-;-;-;1;-;-;-;-;1;-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
250115;250115 AREIA DE BARAUNAS;5;3;1;1;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250120;250120 AREIAL;8;4;3;1;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250130;250130 AROEIRAS;19;12;3;4;-;10;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;2;-;1;-;-;-;-
250135;250135 ASSUNCAO;7;5;1;1;-;2;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250140;250140 BAIA DA TRAICAO;20;18;0;2;-;4;-;-;1;-;1;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-
250150;250150 BANANEIRAS;28;15;10;3;-;9;-;-;1;4;-;-;-;1;-;-;1;-;-;-;5;3;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
250153;250153 BARAUNA;10;6;3;1;1;2;-;-;-;-;1;1;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250157;250157 BARRA DE SANTANA;19;13;4;2;6;4;-;-;-;-;1;1;-;1;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-
250160;250160 BARRA DE SANTA ROSA;17;11;4;2;-;6;1;-;-;3;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-
250170;250170 BARRA DE SAO MIGUEL;9;5;0;4;1;2;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-
250180;250180 BAYEUX;52;35;14;3;-;29;3;-;-;-;3;-;-;-;-;-;6;-;-;-;5;1;-;-;-;1;1;-;-;-;-;1;-;-;-;1;-;-;1;-
250190;250190 BELEM;32;22;7;3;6;8;4;-;-;1;1;1;-;1;-;-;1;-;-;-;4;1;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
250200;250200 BELEM DO BREJO DO CRUZ;14;6;5;3;-;4;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;2;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
250205;250205 BERNARDINO BATISTA;6;4;0;2;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
250210;250210 BOA VENTURA;11;7;2;2;4;-;-;-;-;1;1;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-
250215;250215 BOA VISTA;8;5;2;1;-;2;1;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
250220;250220 BOM JESUS;8;4;3;1;-;2;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250230;250230 BOM SUCESSO;11;5;3;3;-;2;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;1;-;1;-;-;-;-
250240;250240 BONITO DE SANTA FE;17;9;3;5;-;6;-;-;-;-;2;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;-;-;1
250250;250250 BOQUEIRAO;17;10;4;3;-;8;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
250260;250260 IGARACY;13;6;3;4;1;1;-;-;-;1;2;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-
250270;250270 BORBOREMA;10;8;1;1;3;2;-;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250280;250280 BREJO DO CRUZ;20;10;7;3;1;5;-;-;-;1;1;1;-;1;-;-;-;-;-;-;1;5;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
250290;250290 BREJO DOS SANTOS;8;4;2;2;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
250300;250300 CAAPORA;24;15;5;4;-;9;1;-;-;-;1;1;-;3;-;-;-;-;-;-;3;1;-;-;-;1;-;-;-;-;-;1;-;2;-;1;-;-;-;-
250310;250310 CABACEIRAS;11;6;3;2;1;3;-;-;-;-;-;1;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
250320;250320 CABEDELO;69;43;24;2;-;22;14;-;-;1;5;-;-;1;-;-;3;-;-;-;11;7;-;-;-;2;-;-;-;-;1;1;-;-;-;1;-;-;-;-
250330;250330 CACHOEIRA DOS INDIOS;20;15;4;1;8;5;-;-;-;-;2;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
250340;250340 CACIMBA DE AREIA;11;7;3;1;-;3;1;-;-;1;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
