codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;aumentototal;aumento-primaria;aumentosecundaria;aumento-terciaria
150658;150658 SANTA MARIA DAS BARREIRAS;16;12;1;3;22;15;3;4;38%;25%;200%;33%
150660;150660 SANTA MARIA DO PARA;18;9;6;3;25;13;8;4;39%;44%;33%;33%
150670;150670 SANTANA DO ARAGUAIA;39;26;8;5;44;27;12;5;13%;4%;50%;0%
150680;150680 SANTAREM;271;132;124;15;378;189;172;17;39%;43%;39%;13%
150690;150690 SANTAREM NOVO;12;9;1;2;14;10;2;2;17%;11%;100%;0%
150700;150700 SANTO ANTONIO DO TAUA;20;15;2;3;23;18;2;3;15%;20%;0%;0%
150710;150710 SAO CAETANO DE ODIVELAS;18;13;3;2;20;14;4;2;11%;8%;33%;0%
150715;150715 SAO DOMINGOS DO ARAGUAIA;19;11;4;4;19;11;5;3;0%;0%;25%;-25%
150720;150720 SAO DOMINGOS DO CAPIM;20;15;1;4;30;20;6;4;50%;33%;500%;0%
150730;150730 SAO FELIX DO XINGU;55;34;15;6;71;42;22;7;29%;24%;47%;17%
150740;150740 SAO FRANCISCO DO PARA;13;12;0;1;17;15;1;1;31%;25%;100%;0%
150745;150745 SAO GERALDO DO ARAGUAIA;23;16;5;2;25;16;6;3;9%;0%;20%;50%
150746;150746 SAO JOAO DA PONTA;11;9;1;1;9;8;0;1;-18%;-11%;-100%;0%
150747;150747 SAO JOAO DE PIRABAS;17;12;1;4;24;13;7;4;41%;8%;600%;0%
150750;150750 SAO JOAO DO ARAGUAIA;16;13;1;2;18;13;2;3;13%;0%;100%;50%
150760;150760 SAO MIGUEL DO GUAMA;37;24;9;4;58;35;18;5;57%;46%;100%;25%
150770;150770 SAO SEBASTIAO DA BOA VISTA;20;16;1;3;21;18;0;3;5%;13%;-100%;0%
150775;150775 SAPUCAIA;8;5;0;3;9;5;1;3;13%;0%;100%;0%
150780;150780 SENADOR JOSE PORFIRIO;16;12;2;2;18;14;2;2;13%;17%;0%;0%
150790;150790 SOURE;12;9;1;2;12;9;1;2;0%;0%;0%;0%
150795;150795 TAILANDIA;30;13;12;5;40;26;9;5;33%;100%;-25%;0%
150796;150796 TERRA ALTA;9;8;0;1;9;7;1;1;0%;-13%;100%;0%
