codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;aumentototal;aumento-primaria;aumentosecundaria;aumento-terciaria
230523;230523 HORIZONTE;44;27;13;4;47;31;12;4;7%;15%;-8%;0%
230526;230526 IBARETAMA;15;11;1;3;16;11;2;3;7%;0%;100%;0%
230530;230530 IBIAPINA;27;19;6;2;33;22;8;3;22%;16%;33%;50%
230533;230533 IBICUITINGA;15;12;2;1;21;16;3;2;40%;33%;50%;100%
230535;230535 ICAPUI;14;9;2;3;17;9;5;3;21%;0%;150%;0%
230540;230540 ICO;59;38;19;2;72;40;27;5;22%;5%;42%;150%
230550;230550 IGUATU;133;86;38;9;146;93;42;11;10%;8%;11%;22%
230560;230560 INDEPENDENCIA;27;21;5;1;37;26;8;3;37%;24%;60%;200%
230565;230565 IPAPORANGA;14;8;3;3;16;9;5;2;14%;13%;67%;-33%
230570;230570 IPAUMIRIM;8;5;1;2;11;6;3;2;38%;20%;200%;0%
230580;230580 IPU;39;25;8;6;48;29;10;9;23%;16%;25%;50%
230590;230590 IPUEIRAS;20;15;3;2;33;18;11;4;65%;20%;267%;100%
230600;230600 IRACEMA;16;12;2;2;17;13;2;2;6%;8%;0%;0%
230610;230610 IRAUCUBA;18;11;4;3;20;11;5;4;11%;0%;25%;33%
230620;230620 ITAICABA;7;4;2;1;10;5;4;1;43%;25%;100%;0%
230625;230625 ITAITINGA;27;20;5;2;36;24;9;3;33%;20%;80%;50%
230630;230630 ITAPAGE;36;24;9;3;52;34;15;3;44%;42%;67%;0%
230640;230640 ITAPIPOCA;121;82;32;7;159;106;45;8;31%;29%;41%;14%
230650;230650 ITAPIUNA;13;9;2;2;13;9;2;2;0%;0%;0%;0%
230655;230655 ITAREMA;28;17;9;2;36;19;14;3;29%;12%;56%;50%
230660;230660 ITATIRA;18;17;0;1;21;16;3;2;17%;-6%;100%;100%
230670;230670 JAGUARETAMA;16;11;3;2;22;12;6;4;38%;9%;100%;100%
230680;230680 JAGUARIBARA;10;8;0;2;16;9;3;4;60%;13%;100%;100%
230690;230690 JAGUARIBE;41;30;8;3;48;30;15;3;17%;0%;88%;0%
230700;230700 JAGUARUANA;47;37;6;4;41;28;9;4;-13%;-24%;50%;0%
230710;230710 JARDIM;21;16;3;2;25;16;6;3;19%;0%;100%;50%
230720;230720 JATI;14;10;1;3;18;11;3;4;29%;10%;200%;33%
230725;230725 JIJOCA DE JERICOACOARA;15;6;6;3;26;15;8;3;73%;150%;33%;0%
230730;230730 JUAZEIRO DO NORTE;428;229;178;21;606;314;270;22;42%;37%;52%;5%
230740;230740 JUCAS;17;12;2;3;24;14;6;4;41%;17%;200%;33%
230750;230750 LAVRAS DA MANGABEIRA;22;14;6;2;32;21;8;3;45%;50%;33%;50%
230760;230760 LIMOEIRO DO NORTE;96;69;21;6;144;94;42;8;50%;36%;100%;33%
230763;230763 MADALENA;12;10;0;2;18;10;6;2;50%;0%;100%;0%
230765;230765 MARACANAU;189;124;49;16;266;164;84;18;41%;32%;71%;13%
230770;230770 MARANGUAPE;61;40;16;5;97;60;33;4;59%;50%;106%;-20%
230780;230780 MARCO;19;12;5;2;23;12;7;4;21%;0%;40%;100%
230790;230790 MARTINOPOLE;10;7;1;2;12;7;3;2;20%;0%;200%;0%
230800;230800 MASSAPE;18;14;2;2;23;14;5;4;28%;0%;150%;100%
230810;230810 MAURITI;50;37;10;3;55;34;17;4;10%;-8%;70%;33%
230820;230820 MERUOCA;16;13;1;2;20;16;2;2;25%;23%;100%;0%
230830;230830 MILAGRES;32;22;7;3;39;22;14;3;22%;0%;100%;0%
230835;230835 MILHA;17;9;5;3;22;13;6;3;29%;44%;20%;0%
230837;230837 MIRAIMA;12;9;1;2;12;9;0;3;0%;0%;-100%;50%
230840;230840 MISSAO VELHA;36;20;14;2;34;21;10;3;-6%;5%;-29%;50%
230850;230850 MOMBACA;25;17;5;3;39;22;13;4;56%;29%;160%;33%
230860;230860 MONSENHOR TABOSA;18;12;4;2;21;13;6;2;17%;8%;50%;0%
230870;230870 MORADA NOVA;55;41;10;4;67;46;16;5;22%;12%;60%;25%
230880;230880 MORAUJO;10;7;2;1;11;6;4;1;10%;-14%;100%;0%
230890;230890 MORRINHOS;16;11;3;2;15;10;2;3;-6%;-9%;-33%;50%
230900;230900 MUCAMBO;10;6;3;1;15;7;6;2;50%;17%;100%;100%
230910;230910 MULUNGU;10;6;2;2;12;6;4;2;20%;0%;100%;0%
230920;230920 NOVA OLINDA;16;12;3;1;19;14;4;1;19%;17%;33%;0%
230930;230930 NOVA RUSSAS;26;17;7;2;27;15;9;3;4%;-12%;29%;50%
230940;230940 NOVO ORIENTE;23;17;4;2;31;20;8;3;35%;18%;100%;50%
230945;230945 OCARA;35;28;3;4;34;27;3;4;-3%;-4%;0%;0%
230950;230950 OROS;28;21;4;3;30;22;5;3;7%;5%;25%;0%
230960;230960 PACAJUS;51;37;11;3;65;40;22;3;27%;8%;100%;0%
230970;230970 PACATUBA;27;21;2;4;37;28;6;3;37%;33%;200%;-25%
230980;230980 PACOTI;14;10;2;2;24;19;3;2;71%;90%;50%;0%
230990;230990 PACUJA;7;3;3;1;10;6;3;1;43%;100%;0%;0%
231000;231000 PALHANO;13;10;1;2;10;5;3;2;-23%;-50%;200%;0%
231010;231010 PALMACIA;7;5;1;1;10;8;1;1;43%;60%;0%;0%
231020;231020 PARACURU;24;18;3;3;34;25;6;3;42%;39%;100%;0%
231025;231025 PARAIPABA;24;15;6;3;37;24;10;3;54%;60%;67%;0%
231030;231030 PARAMBU;30;20;7;3;28;18;8;2;-7%;-10%;14%;-33%
231040;231040 PARAMOTI;8;6;0;2;11;7;2;2;38%;17%;100%;0%
231050;231050 PEDRA BRANCA;38;32;3;3;47;35;9;3;24%;9%;200%;0%
231060;231060 PENAFORTE;13;9;1;3;22;14;5;3;69%;56%;400%;0%
231070;231070 PENTECOSTE;26;19;3;4;31;23;4;4;19%;21%;33%;0%
231080;231080 PEREIRO;14;11;1;2;20;11;6;3;43%;0%;500%;50%
231085;231085 PINDORETAMA;19;14;2;3;22;17;2;3;16%;21%;0%;0%
231090;231090 PIQUET CARNEIRO;15;10;4;1;20;12;5;3;33%;20%;25%;200%
231095;231095 PIRES FERREIRA;8;7;0;1;12;9;2;1;50%;29%;100%;0%
231100;231100 PORANGA;10;7;1;2;12;8;2;2;20%;14%;100%;0%
231110;231110 PORTEIRAS;15;10;3;2;17;11;4;2;13%;10%;33%;0%
231120;231120 POTENGI;12;9;2;1;18;11;5;2;50%;22%;150%;100%
231123;231123 POTIRETAMA;7;4;2;1;9;5;3;1;29%;25%;50%;0%
231126;231126 QUITERIANOPOLIS;39;34;2;3;52;42;7;3;33%;24%;250%;0%
231130;231130 QUIXADA;115;86;21;8;147;99;40;8;28%;15%;90%;0%
231135;231135 QUIXELO;19;13;3;3;20;12;4;4;5%;-8%;33%;33%
231140;231140 QUIXERAMOBIM;67;51;8;8;76;53;15;8;13%;4%;88%;0%
231150;231150 QUIXERE;16;13;1;2;24;14;8;2;50%;8%;700%;0%
231160;231160 REDENCAO;35;25;6;4;40;27;9;4;14%;8%;50%;0%
231170;231170 RERIUTABA;15;11;1;3;20;11;5;4;33%;0%;400%;33%
231180;231180 RUSSAS;80;51;22;7;100;59;35;6;25%;16%;59%;-14%
231190;231190 SABOEIRO;13;9;1;3;17;10;2;5;31%;11%;100%;67%
231195;231195 SALITRE;21;16;2;3;23;18;2;3;10%;13%;0%;0%
231200;231200 SANTANA DO ACARAU;17;11;4;2;22;13;6;3;29%;18%;50%;50%
231210;231210 SANTANA DO CARIRI;11;8;2;1;16;9;4;3;45%;13%;100%;200%
231220;231220 SANTA QUITERIA;27;14;11;2;31;15;12;4;15%;7%;9%;100%
231230;231230 SAO BENEDITO;43;27;12;4;95;64;27;4;121%;137%;125%;0%
231240;231240 SAO GONCALO DO AMARANTE;41;26;10;5;54;30;18;6;32%;15%;80%;20%
231250;231250 SAO JOAO DO JAGUARIBE;6;4;0;2;7;4;2;1;17%;0%;100%;-50%
231260;231260 SAO LUIS DO CURU;14;11;1;2;15;12;1;2;7%;9%;0%;0%
231270;231270 SENADOR POMPEU;29;17;7;5;33;19;9;5;14%;12%;29%;0%
231280;231280 SENADOR SA;5;3;1;1;10;7;2;1;100%;133%;100%;0%
231290;231290 SOBRAL;262;146;97;19;397;177;204;16;52%;21%;110%;-16%
231300;231300 SOLONOPOLE;22;13;5;4;29;14;10;5;32%;8%;100%;25%
231310;231310 TABULEIRO DO NORTE;27;17;7;3;39;26;9;4;44%;53%;29%;33%
231320;231320 TAMBORIL;20;15;3;2;23;15;5;3;15%;0%;67%;50%
231325;231325 TARRAFAS;7;5;1;1;6;4;1;1;-14%;-20%;0%;0%
231330;231330 TAUA;64;32;26;6;74;34;32;8;16%;6%;23%;33%
231335;231335 TEJUCUOCA;16;14;1;1;25;22;1;2;56%;57%;0%;100%
231340;231340 TIANGUA;77;50;23;4;76;38;31;7;-1%;-24%;35%;75%
231350;231350 TRAIRI;28;20;4;4;40;32;5;3;43%;60%;25%;-25%
231355;231355 TURURU;11;9;0;2;10;8;1;1;-9%;-11%;100%;-50%
231360;231360 UBAJARA;28;21;5;2;36;21;11;4;29%;0%;120%;100%
231370;231370 UMARI;6;4;1;1;12;6;4;2;100%;50%;300%;100%
231375;231375 UMIRIM;15;10;3;2;11;8;1;2;-27%;-20%;-67%;0%
231380;231380 URUBURETAMA;19;13;5;1;21;14;5;2;11%;8%;0%;100%
231390;231390 URUOCA;13;9;2;2;16;10;4;2;23%;11%;100%;0%
231395;231395 VARJOTA;12;8;3;1;18;7;8;3;50%;-13%;167%;200%
231400;231400 VARZEA ALEGRE;33;21;9;3;33;21;9;3;0%;0%;0%;0%
231410;231410 VICOSA DO CEARA;31;25;4;2;37;24;10;3;19%;-4%;150%;50%
240010;240010 ACARI;12;10;1;1;13;9;2;2;8%;-10%;100%;100%
240020;240020 ACU;57;29;24;4;72;36;30;6;26%;24%;25%;50%
240030;240030 AFONSO BEZERRA;9;5;2;2;11;5;4;2;22%;0%;100%;0%
240040;240040 AGUA NOVA;4;3;0;1;5;4;0;1;25%;33%;100%;0%
240050;240050 ALEXANDRIA;20;10;6;4;26;12;9;5;30%;20%;50%;25%
240060;240060 ALMINO AFONSO;8;5;1;2;9;6;1;2;13%;20%;0%;0%
240070;240070 ALTO DO RODRIGUES;18;11;6;1;21;12;8;1;17%;9%;33%;0%
240080;240080 ANGICOS;11;7;2;2;19;12;5;2;73%;71%;150%;0%
240090;240090 ANTONIO MARTINS;10;8;1;1;11;9;0;2;10%;13%;-100%;100%
240100;240100 APODI;33;11;17;5;40;14;22;4;21%;27%;29%;-20%
240110;240110 AREIA BRANCA;22;13;6;3;29;14;11;4;32%;8%;83%;33%
240120;240120 ARES;11;8;1;2;11;8;2;1;0%;0%;100%;-50%
240130;240130 AUGUSTO SEVERO;10;8;1;1;10;7;2;1;0%;-13%;100%;0%
240140;240140 BAIA FORMOSA;9;6;2;1;10;7;2;1;11%;17%;0%;0%
240145;240145 BARAUNA;22;14;4;4;23;15;4;4;5%;7%;0%;0%
240150;240150 BARCELONA;9;6;2;1;9;7;1;1;0%;17%;-50%;0%
240160;240160 BENTO FERNANDES;3;1;1;1;4;2;1;1;33%;100%;0%;0%
240165;240165 BODO;3;2;0;1;3;2;0;1;0%;0%;100%;0%
240170;240170 BOM JESUS;7;5;1;1;12;9;2;1;71%;80%;100%;0%
240180;240180 BREJINHO;16;13;1;2;18;15;1;2;13%;15%;0%;0%
240185;240185 CAICARA DO NORTE;4;3;0;1;6;4;1;1;50%;33%;100%;0%
240190;240190 CAICARA DO RIO DO VENTO;5;3;1;1;6;4;1;1;20%;33%;0%;0%
240200;240200 CAICO;156;100;50;6;189;109;73;7;21%;9%;46%;17%
240210;240210 CAMPO REDONDO;12;9;2;1;17;14;2;1;42%;56%;0%;0%
240220;240220 CANGUARETAMA;28;20;5;3;33;20;11;2;18%;0%;120%;-33%
240230;240230 CARAUBAS;22;14;6;2;26;16;8;2;18%;14%;33%;0%
240240;240240 CARNAUBA DOS DANTAS;12;7;4;1;10;7;1;2;-17%;0%;-75%;100%
240250;240250 CARNAUBAIS;7;3;2;2;10;5;3;2;43%;67%;50%;0%
240260;240260 CEARA-MIRIM;50;31;16;3;66;43;20;3;32%;39%;25%;0%
240270;240270 CERRO CORA;9;7;1;1;12;9;1;2;33%;29%;0%;100%
240280;240280 CORONEL EZEQUIEL;8;5;2;1;7;4;2;1;-13%;-20%;0%;0%
240290;240290 CORONEL JOAO PESSOA;6;4;1;1;8;6;1;1;33%;50%;0%;0%
240300;240300 CRUZETA;6;4;0;2;9;5;3;1;50%;25%;100%;-50%
240310;240310 CURRAIS NOVOS;68;24;38;6;98;43;50;5;44%;79%;32%;-17%
240320;240320 DOUTOR SEVERIANO;9;6;2;1;11;6;3;2;22%;0%;50%;100%
240325;240325 PARNAMIRIM;131;54;68;9;183;83;88;12;40%;54%;29%;33%
240330;240330 ENCANTO;9;6;2;1;12;7;4;1;33%;17%;100%;0%
240340;240340 EQUADOR;10;7;2;1;9;7;1;1;-10%;0%;-50%;0%
240350;240350 ESPIRITO SANTO;9;7;1;1;11;7;3;1;22%;0%;200%;0%
240360;240360 EXTREMOZ;25;18;4;3;30;19;8;3;20%;6%;100%;0%
240370;240370 FELIPE GUERRA;4;2;1;1;7;5;1;1;75%;150%;0%;0%
240375;240375 FERNANDO PEDROZA;2;1;0;1;4;3;0;1;100%;200%;100%;0%
240380;240380 FLORANIA;12;9;2;1;12;9;2;1;0%;0%;0%;0%
240390;240390 FRANCISCO DANTAS;6;5;0;1;7;5;1;1;17%;0%;100%;0%
240400;240400 FRUTUOSO GOMES;11;8;2;1;15;9;5;1;36%;13%;150%;0%
240410;240410 GALINHOS;5;3;1;1;5;3;1;1;0%;0%;0%;0%
240420;240420 GOIANINHA;33;18;10;5;41;23;13;5;24%;28%;30%;0%
240430;240430 GOVERNADOR DIX-SEPT ROSADO;10;8;1;1;11;7;3;1;10%;-13%;200%;0%
240440;240440 GROSSOS;8;6;0;2;8;6;0;2;0%;0%;100%;0%
240450;240450 GUAMARE;19;13;4;2;25;13;8;4;32%;0%;100%;100%
240460;240460 IELMO MARINHO;10;8;0;2;14;10;2;2;40%;25%;100%;0%
240470;240470 IPANGUACU;13;10;2;1;14;10;3;1;8%;0%;50%;0%
240480;240480 IPUEIRA;5;2;2;1;6;3;2;1;20%;50%;0%;0%
240485;240485 ITAJA;7;4;2;1;9;5;2;2;29%;25%;0%;100%
240490;240490 ITAU;6;3;2;1;9;5;2;2;50%;67%;0%;100%
240500;240500 JACANA;5;3;1;1;7;5;1;1;40%;67%;0%;0%
240510;240510 JANDAIRA;6;4;1;1;8;6;1;1;33%;50%;0%;0%
240520;240520 JANDUIS;5;3;0;2;8;5;1;2;60%;67%;100%;0%
240530;240530 JANUARIO CICCO;10;7;2;1;15;11;3;1;50%;57%;50%;0%
240540;240540 JAPI;6;4;1;1;6;4;1;1;0%;0%;0%;0%
240550;240550 JARDIM DE ANGICOS;4;2;1;1;5;3;1;1;25%;50%;0%;0%
240560;240560 JARDIM DE PIRANHAS;14;10;2;2;16;10;4;2;14%;0%;100%;0%
240570;240570 JARDIM DO SERIDO;14;7;5;2;17;12;3;2;21%;71%;-40%;0%
240580;240580 JOAO CAMARA;34;18;12;4;49;20;25;4;44%;11%;108%;0%
240590;240590 JOAO DIAS;4;2;0;2;6;3;2;1;50%;50%;100%;-50%
240600;240600 JOSE DA PENHA;8;5;2;1;12;7;3;2;50%;40%;50%;100%
240610;240610 JUCURUTU;20;16;2;2;24;18;4;2;20%;13%;100%;0%
240615;240615 JUNDIA;9;7;1;1;11;9;1;1;22%;29%;0%;0%
240620;240620 LAGOA D'ANTA;7;5;1;1;8;5;1;2;14%;0%;0%;100%
240630;240630 LAGOA DE PEDRAS;6;4;1;1;6;4;1;1;0%;0%;0%;0%
240640;240640 LAGOA DE VELHOS;7;4;1;2;6;4;1;1;-14%;0%;0%;-50%
240650;240650 LAGOA NOVA;7;5;0;2;10;7;1;2;43%;40%;100%;0%
240660;240660 LAGOA SALGADA;6;4;1;1;6;4;1;1;0%;0%;0%;0%
240670;240670 LAJES;13;8;2;3;15;10;2;3;15%;25%;0%;0%
240680;240680 LAJES PINTADAS;7;5;1;1;8;6;1;1;14%;20%;0%;0%
240690;240690 LUCRECIA;11;7;2;2;14;9;3;2;27%;29%;50%;0%
240700;240700 LUIS GOMES;9;7;1;1;13;8;4;1;44%;14%;300%;0%
240710;240710 MACAIBA;57;33;15;9;68;39;19;10;19%;18%;27%;11%
240720;240720 MACAU;35;24;9;2;38;26;9;3;9%;8%;0%;50%
240725;240725 MAJOR SALES;7;5;1;1;7;5;1;1;0%;0%;0%;0%
240730;240730 MARCELINO VIEIRA;5;4;0;1;7;5;1;1;40%;25%;100%;0%
240740;240740 MARTINS;11;8;1;2;13;8;4;1;18%;0%;300%;-50%
240750;240750 MAXARANGUAPE;8;5;2;1;9;7;1;1;13%;40%;-50%;0%
240760;240760 MESSIAS TARGINO;6;3;2;1;8;4;2;2;33%;33%;0%;100%
240770;240770 MONTANHAS;8;5;2;1;9;6;2;1;13%;20%;0%;0%
240780;240780 MONTE ALEGRE;23;18;3;2;28;22;3;3;22%;22%;0%;50%
240790;240790 MONTE DAS GAMELEIRAS;4;2;1;1;5;1;3;1;25%;-50%;200%;0%
240800;240800 MOSSORO;375;186;172;17;502;223;259;20;34%;20%;51%;18%
240810;240810 NATAL;1688;1154;471;63;1430;715;649;66;-15%;-38%;38%;5%
240820;240820 NISIA FLORESTA;26;19;5;2;25;19;4;2;-4%;0%;-20%;0%
240830;240830 NOVA CRUZ;36;26;7;3;40;27;10;3;11%;4%;43%;0%
240840;240840 OLHO-D'AGUA DO BORGES;7;5;1;1;8;6;1;1;14%;20%;0%;0%
240850;240850 OURO BRANCO;5;2;2;1;5;3;1;1;0%;50%;-50%;0%
240860;240860 PARANA;6;4;1;1;6;4;1;1;0%;0%;0%;0%
240870;240870 PARAU;2;1;0;1;3;1;1;1;50%;0%;100%;0%
240880;240880 PARAZINHO;6;3;2;1;8;3;4;1;33%;0%;100%;0%
240890;240890 PARELHAS;38;23;13;2;47;25;19;3;24%;9%;46%;50%
240895;240895 RIO DO FOGO;13;9;2;2;15;11;1;3;15%;22%;-50%;50%
240910;240910 PASSA E FICA;14;9;3;2;16;10;4;2;14%;11%;33%;0%
240920;240920 PASSAGEM;5;4;0;1;10;6;3;1;100%;50%;100%;0%
240930;240930 PATU;12;9;1;2;19;10;6;3;58%;11%;500%;50%
240933;240933 SANTA MARIA;6;5;0;1;9;7;1;1;50%;40%;100%;0%
240940;240940 PAU DOS FERROS;98;33;58;7;127;38;81;8;30%;15%;40%;14%
240950;240950 PEDRA GRANDE;6;5;0;1;8;6;1;1;33%;20%;100%;0%
240960;240960 PEDRA PRETA;4;2;1;1;6;4;1;1;50%;100%;0%;0%
240970;240970 PEDRO AVELINO;7;6;0;1;10;6;3;1;43%;0%;100%;0%
240980;240980 PEDRO VELHO;10;8;1;1;9;7;1;1;-10%;-13%;0%;0%
240990;240990 PENDENCIAS;12;7;4;1;18;10;7;1;50%;43%;75%;0%
241000;241000 PILOES;7;4;2;1;8;4;3;1;14%;0%;50%;0%
241010;241010 POCO BRANCO;11;8;1;2;11;8;1;2;0%;0%;0%;0%
241020;241020 PORTALEGRE;16;9;6;1;21;11;7;3;31%;22%;17%;200%
241025;241025 PORTO DO MANGUE;5;3;1;1;6;4;1;1;20%;33%;0%;0%
241030;241030 SERRA CAIADA;10;8;1;1;16;13;2;1;60%;63%;100%;0%
241040;241040 PUREZA;8;6;1;1;10;7;2;1;25%;17%;100%;0%
241050;241050 RAFAEL FERNANDES;8;4;3;1;10;6;3;1;25%;50%;0%;0%
241060;241060 RAFAEL GODEIRO;7;4;0;3;6;4;1;1;-14%;0%;100%;-67%
241070;241070 RIACHO DA CRUZ;5;3;1;1;6;4;1;1;20%;33%;0%;0%
241080;241080 RIACHO DE SANTANA;8;6;1;1;8;5;2;1;0%;-17%;100%;0%
241090;241090 RIACHUELO;6;4;1;1;9;5;3;1;50%;25%;200%;0%
241100;241100 RODOLFO FERNANDES;6;4;1;1;7;5;0;2;17%;25%;-100%;100%
241105;241105 TIBAU;9;4;4;1;11;6;3;2;22%;50%;-25%;100%
241110;241110 RUY BARBOSA;8;5;2;1;10;7;1;2;25%;40%;-50%;100%
241120;241120 SANTA CRUZ;36;18;14;4;44;21;18;5;22%;17%;29%;25%
241140;241140 SANTANA DO MATOS;14;11;2;1;14;11;1;2;0%;0%;-50%;100%
241142;241142 SANTANA DO SERIDO;5;3;1;1;7;4;2;1;40%;33%;100%;0%
241150;241150 SANTO ANTONIO;27;17;7;3;30;19;8;3;11%;12%;14%;0%
241160;241160 SAO BENTO DO NORTE;4;2;1;1;4;2;1;1;0%;0%;0%;0%
241170;241170 SAO BENTO DO TRAIRI;5;3;1;1;5;3;1;1;0%;0%;0%;0%
241180;241180 SAO FERNANDO;8;6;1;1;8;6;1;1;0%;0%;0%;0%
241190;241190 SAO FRANCISCO DO OESTE;4;3;0;1;3;2;0;1;-25%;-33%;100%;0%
241200;241200 SAO GONCALO DO AMARANTE;62;45;12;5;84;57;21;6;35%;27%;75%;20%
241210;241210 SAO JOAO DO SABUGI;7;5;1;1;9;6;2;1;29%;20%;100%;0%
241220;241220 SAO JOSE DE MIPIBU;36;19;14;3;46;24;18;4;28%;26%;29%;33%
241230;241230 SAO JOSE DO CAMPESTRE;10;5;3;2;10;6;2;2;0%;20%;-33%;0%
241240;241240 SAO JOSE DO SERIDO;5;3;1;1;6;2;3;1;20%;-33%;200%;0%
241250;241250 SAO MIGUEL;26;15;9;2;26;16;7;3;0%;7%;-22%;50%
241255;241255 SAO MIGUEL DO GOSTOSO;6;4;1;1;8;5;2;1;33%;25%;100%;0%
241260;241260 SAO PAULO DO POTENGI;26;14;10;2;32;15;14;3;23%;7%;40%;50%
241270;241270 SAO PEDRO;9;7;1;1;8;7;0;1;-11%;0%;-100%;0%
241280;241280 SAO RAFAEL;7;5;0;2;9;6;1;2;29%;20%;100%;0%
241290;241290 SAO TOME;12;10;1;1;14;11;2;1;17%;10%;100%;0%
241300;241300 SAO VICENTE;11;8;2;1;11;8;2;1;0%;0%;0%;0%
241310;241310 SENADOR ELOI DE SOUZA;9;7;1;1;10;7;2;1;11%;0%;100%;0%
241320;241320 SENADOR GEORGINO AVELINO;6;3;2;1;7;4;2;1;17%;33%;0%;0%
241330;241330 SERRA DE SAO BENTO;7;5;1;1;7;5;1;1;0%;0%;0%;0%
241335;241335 SERRA DO MEL;12;8;3;1;12;6;5;1;0%;-25%;67%;0%
241340;241340 SERRA NEGRA DO NORTE;19;13;4;2;19;14;3;2;0%;8%;-25%;0%
241350;241350 SERRINHA;5;4;0;1;7;6;0;1;40%;50%;100%;0%
241355;241355 SERRINHA DOS PINTOS;8;4;3;1;8;4;3;1;0%;0%;0%;0%
241360;241360 SEVERIANO MELO;12;9;2;1;13;10;1;2;8%;11%;-50%;100%
241370;241370 SITIO NOVO;6;4;1;1;7;5;1;1;17%;25%;0%;0%
241380;241380 TABOLEIRO GRANDE;5;3;1;1;9;4;3;2;80%;33%;200%;100%
241390;241390 TAIPU;9;6;2;1;8;6;1;1;-11%;0%;-50%;0%
241400;241400 TANGARA;10;8;0;2;10;8;0;2;0%;0%;100%;0%
241410;241410 TENENTE ANANIAS;10;5;3;2;14;5;6;3;40%;0%;100%;50%
241415;241415 TENENTE LAURENTINO CRUZ;11;7;3;1;10;6;3;1;-9%;-14%;0%;0%
241420;241420 TIBAU DO SUL;11;8;2;1;10;6;3;1;-9%;-25%;50%;0%
241430;241430 TIMBAUBA DOS BATISTAS;3;1;1;1;3;1;1;1;0%;0%;0%;0%
241440;241440 TOUROS;28;19;6;3;35;20;11;4;25%;5%;83%;33%
241445;241445 TRIUNFO POTIGUAR;5;2;2;1;5;2;1;2;0%;0%;-50%;100%
241450;241450 UMARIZAL;17;12;4;1;18;12;5;1;6%;0%;25%;0%
241460;241460 UPANEMA;16;14;1;1;19;14;4;1;19%;0%;300%;0%
241470;241470 VARZEA;4;3;0;1;5;3;1;1;25%;0%;100%;0%
241475;241475 VENHA-VER;6;4;1;1;8;6;0;2;33%;50%;-100%;100%
241480;241480 VERA CRUZ;13;9;3;1;14;9;4;1;8%;0%;33%;0%
241490;241490 VICOSA;6;3;1;2;5;3;1;1;-17%;0%;0%;-50%
241500;241500 VILA FLOR;5;3;0;2;5;3;1;1;0%;0%;100%;-50%
250010;250010 AGUA BRANCA;16;10;3;3;18;9;5;4;13%;-10%;67%;33%
250020;250020 AGUIAR;12;5;4;3;15;6;6;3;25%;20%;50%;0%
250030;250030 ALAGOA GRANDE;27;15;7;5;30;17;8;5;11%;13%;14%;0%
250040;250040 ALAGOA NOVA;20;12;6;2;23;13;8;2;15%;8%;33%;0%
250050;250050 ALAGOINHA;19;14;3;2;19;14;3;2;0%;0%;0%;0%
250053;250053 ALCANTIL;9;4;3;2;13;8;3;2;44%;100%;0%;0%
250057;250057 ALGODAO DE JANDAIRA;8;4;3;1;5;4;0;1;-38%;0%;-100%;0%
250060;250060 ALHANDRA;24;14;6;4;26;13;9;4;8%;-7%;50%;0%
250070;250070 SAO JOAO DO RIO DO PEIXE;24;13;7;4;31;19;9;3;29%;46%;29%;-25%
250073;250073 AMPARO;8;5;2;1;8;4;3;1;0%;-20%;50%;0%
250077;250077 APARECIDA;9;6;2;1;13;8;4;1;44%;33%;100%;0%
250080;250080 ARACAGI;21;14;6;1;17;12;4;1;-19%;-14%;-33%;0%
250090;250090 ARARA;11;7;1;3;13;8;2;3;18%;14%;100%;0%
250100;250100 ARARUNA;27;13;10;4;23;14;5;4;-15%;8%;-50%;0%
250110;250110 AREIA;24;16;5;3;32;22;7;3;33%;38%;40%;0%
250115;250115 AREIA DE BARAUNAS;5;3;1;1;4;3;0;1;-20%;0%;-100%;0%
250120;250120 AREIAL;8;4;3;1;8;4;3;1;0%;0%;0%;0%
250130;250130 AROEIRAS;19;12;3;4;23;14;5;4;21%;17%;67%;0%
250135;250135 ASSUNCAO;7;5;1;1;9;7;1;1;29%;40%;0%;0%
250140;250140 BAIA DA TRAICAO;20;18;0;2;22;20;0;2;10%;11%;100%;0%
250150;250150 BANANEIRAS;28;15;10;3;31;16;12;3;11%;7%;20%;0%
250153;250153 BARAUNA;10;6;3;1;12;8;4;0;20%;33%;33%;-100%
250157;250157 BARRA DE SANTANA;19;13;4;2;21;15;4;2;11%;15%;0%;0%
250160;250160 BARRA DE SANTA ROSA;17;11;4;2;26;18;6;2;53%;64%;50%;0%
250170;250170 BARRA DE SAO MIGUEL;9;5;0;4;8;6;1;1;-11%;20%;100%;-75%
250180;250180 BAYEUX;52;35;14;3;71;49;19;3;37%;40%;36%;0%
250190;250190 BELEM;32;22;7;3;27;15;9;3;-16%;-32%;29%;0%
250200;250200 BELEM DO BREJO DO CRUZ;14;6;5;3;17;8;6;3;21%;33%;20%;0%
250205;250205 BERNARDINO BATISTA;6;4;0;2;11;7;2;2;83%;75%;100%;0%
250210;250210 BOA VENTURA;11;7;2;2;15;10;4;1;36%;43%;100%;-50%
250215;250215 BOA VISTA;8;5;2;1;14;8;5;1;75%;60%;150%;0%
250220;250220 BOM JESUS;8;4;3;1;11;6;3;2;38%;50%;0%;100%
250230;250230 BOM SUCESSO;11;5;3;3;13;5;5;3;18%;0%;67%;0%
250240;250240 BONITO DE SANTA FE;17;9;3;5;20;10;6;4;18%;11%;100%;-20%
