ID;codmun6num;municipnascanomalia;anomcong2014;anomcong2015;anomcong2016;anomcong2017;anomcong2018;anomcong2019;anomcong2020;anomcong2021;anomcong2022;anomcong2023
mun1426;251410;251410 SAO JOAO DO TIGRE;-;2;1;-;1;-;1;-;1;-
mun1427;251420;251420 SAO JOSE DA LAGOA TAPADA;1;1;1;-;-;1;-;-;-;1
mun1428;251430;251430 SAO JOSE DE CAIANA;-;-;-;-;-;-;1;1;-;1
mun1429;251440;251440 SAO JOSE DE ESPINHARAS;-;1;-;1;1;-;-;1;-;-
mun1430;251445;251445 SAO JOSE DOS RAMOS;1;-;2;-;-;-;-;-;2;1
mun1431;251450;251450 SAO JOSE DE PIRANHAS;-;1;3;2;1;1;-;-;1;2
mun1432;251455;251455 SAO JOSE DE PRINCESA;-;-;-;-;-;-;-;1;-;-
mun1433;251460;251460 SAO JOSE DO BONFIM;-;-;-;-;-;-;-;-;-;1
mun1434;251465;251465 SAO JOSE DO BREJO DO CRUZ;1;-;-;-;1;-;1;-;-;-
mun1435;251470;251470 SAO JOSE DO SABUGI;-;2;-;-;-;-;-;1;-;-
mun1436;251480;251480 SAO JOSE DOS CORDEIROS;-;1;2;-;-;-;-;-;-;-
mun1437;251490;251490 SAO MAMEDE;-;-;-;1;-;-;-;1;1;-
mun1438;251500;251500 SAO MIGUEL DE TAIPU;1;2;2;2;-;-;-;1;-;2
mun1439;251510;251510 SAO SEBASTIAO DE LAGOA DE ROCA;-;-;1;1;2;2;2;1;1;3
mun1441;251530;251530 SAPE;12;9;10;12;4;6;6;6;7;9
mun1442;251540;251540 SAO VICENTE DO SERIDO;1;2;1;2;3;2;-;-;1;1
mun1443;251550;251550 SERRA BRANCA;-;4;-;-;2;1;1;-;2;3
mun1444;251560;251560 SERRA DA RAIZ;-;-;-;-;1;1;2;-;-;-
mun1445;251570;251570 SERRA GRANDE;-;-;-;-;-;2;1;2;-;-
mun1446;251580;251580 SERRA REDONDA;1;-;1;-;3;1;-;-;-;4
mun1447;251590;251590 SERRARIA;-;1;-;1;-;-;-;1;-;-
mun1448;251593;251593 SERTAOZINHO;-;-;1;1;2;-;-;-;-;1
mun1449;251597;251597 SOBRADO;1;1;-;7;-;3;1;1;1;4
mun1450;251600;251600 SOLANEA;1;1;4;-;-;1;1;-;2;7
mun1451;251610;251610 SOLEDADE;4;2;5;-;-;3;3;1;-;4
mun1452;251615;251615 SOSSEGO;1;1;1;-;-;-;1;-;2;-
mun1453;251620;251620 SOUSA;2;4;-;1;4;1;2;3;5;6
mun1454;251630;251630 SUME;2;3;1;2;2;2;-;2;1;5
mun1455;251640;251640 TACIMA;-;3;-;-;1;-;-;-;-;-
mun1456;251650;251650 TAPEROA;1;-;-;-;1;2;2;1;1;1
mun1457;251660;251660 TAVARES;1;1;1;2;3;2;1;-;1;-
mun1458;251670;251670 TEIXEIRA;-;-;3;1;1;-;-;1;-;2
mun1459;251675;251675 TENORIO;-;1;-;-;-;-;-;-;1;-
mun1460;251680;251680 TRIUNFO;2;-;1;1;-;2;-;-;-;1
mun1461;251690;251690 UIRAUNA;2;-;3;-;-;1;-;1;-;3
mun1462;251700;251700 UMBUZEIRO;2;2;-;-;4;-;2;3;1;1
mun1465;251740;251740 ZABELE;-;-;-;-;1;-;-;-;-;-
mun1466;260005;260005 ABREU E LIMA;12;21;11;15;9;14;12;6;12;17
mun1467;260010;260010 AFOGADOS DA INGAZEIRA;5;3;10;2;8;2;2;2;8;7
mun1468;260020;260020 AFRANIO;1;3;2;-;3;3;5;5;2;2
mun1469;260030;260030 AGRESTINA;4;6;3;5;4;4;6;2;6;2
mun1470;260040;260040 AGUA PRETA;2;3;8;3;4;1;3;5;4;4
mun1471;260050;260050 AGUAS BELAS;8;8;8;7;6;9;10;4;15;11
mun1472;260060;260060 ALAGOINHA;3;-;1;1;-;1;3;-;1;2
mun1473;260070;260070 ALIANCA;6;5;7;6;8;6;3;2;7;4
mun1474;260080;260080 ALTINHO;2;-;2;3;3;5;4;3;1;2
mun1475;260090;260090 AMARAJI;4;2;1;4;2;5;2;-;3;3
mun1476;260100;260100 ANGELIM;-;3;1;1;1;2;-;2;1;5
mun1477;260105;260105 ARACOIABA;2;3;7;3;4;3;3;3;3;2
mun1478;260110;260110 ARARIPINA;4;16;14;11;16;12;18;17;6;9
mun1479;260120;260120 ARCOVERDE;5;5;10;4;1;5;9;9;15;15
mun1480;260130;260130 BARRA DE GUABIRABA;3;1;2;2;-;1;4;2;1;3
mun1481;260140;260140 BARREIROS;2;8;5;8;4;5;9;6;9;6
mun1482;260150;260150 BELEM DE MARIA;-;3;-;2;2;2;1;-;-;3
mun1483;260160;260160 BELEM DE SAO FRANCISCO;5;5;4;4;3;2;1;3;1;4
mun1484;260170;260170 BELO JARDIM;11;19;6;9;15;12;9;10;11;13
mun1485;260180;260180 BETANIA;1;1;1;1;2;-;1;2;2;1
mun1486;260190;260190 BEZERROS;6;8;5;6;3;11;7;9;10;5
mun1487;260200;260200 BODOCO;3;6;2;5;5;4;4;5;1;-
mun1488;260210;260210 BOM CONSELHO;5;7;7;2;2;4;5;2;6;8
mun1489;260220;260220 BOM JARDIM;3;7;5;5;-;6;8;4;4;4
mun1490;260230;260230 BONITO;9;4;4;7;7;3;11;3;8;3
mun1491;260240;260240 BREJAO;-;-;2;1;-;2;1;2;1;2
mun1492;260250;260250 BREJINHO;2;2;2;-;1;1;1;1;-;-
mun1493;260260;260260 BREJO DA MADRE DE DEUS;12;13;7;9;8;11;9;13;6;14
mun1494;260270;260270 BUENOS AIRES;2;3;2;2;-;1;1;-;2;2
mun1495;260280;260280 BUIQUE;5;3;2;3;5;7;14;8;14;16
mun1496;260290;260290 CABO DE SANTO AGOSTINHO;42;65;34;42;36;27;19;36;34;30
mun1497;260300;260300 CABROBO;6;8;2;6;5;3;5;2;4;8
mun1498;260310;260310 CACHOEIRINHA;9;-;2;3;4;2;2;2;5;1
mun1499;260320;260320 CAETES;3;7;6;3;1;2;3;6;2;9
mun1500;260330;260330 CALCADO;2;1;3;-;-;1;1;4;1;2
mun1501;260340;260340 CALUMBI;-;2;1;-;2;1;-;2;-;1
mun1502;260345;260345 CAMARAGIBE;24;60;32;29;18;27;18;23;28;21
mun1503;260350;260350 CAMOCIM DE SAO FELIX;8;2;2;4;1;3;1;2;-;3
mun1504;260360;260360 CAMUTANGA;1;2;1;3;1;-;1;5;2;1
mun1505;260370;260370 CANHOTINHO;3;1;5;1;1;8;3;8;4;1
mun1506;260380;260380 CAPOEIRAS;1;-;5;4;-;-;2;1;4;-
mun1507;260390;260390 CARNAIBA;3;1;1;2;1;2;2;5;2;2
mun1508;260392;260392 CARNAUBEIRA DA PENHA;2;4;-;1;-;1;2;1;3;4
mun1509;260400;260400 CARPINA;11;14;15;13;13;10;6;12;12;9
mun1510;260410;260410 CARUARU;81;98;62;64;61;77;69;65;60;71
mun1511;260415;260415 CASINHAS;2;-;2;-;1;2;4;1;3;-
mun1512;260420;260420 CATENDE;2;4;5;2;3;2;4;6;6;4
mun1513;260430;260430 CEDRO;5;2;1;-;-;3;2;1;1;2
mun1514;260440;260440 CHA DE ALEGRIA;5;5;3;4;3;3;-;1;4;2
mun1515;260450;260450 CHA GRANDE;3;4;-;5;8;-;5;-;4;4
mun1516;260460;260460 CONDADO;6;4;4;3;5;4;4;1;1;3
mun1517;260470;260470 CORRENTES;1;5;2;2;4;1;2;1;-;-
mun1518;260480;260480 CORTES;1;3;2;2;1;4;-;-;2;-
mun1519;260490;260490 CUMARU;2;3;3;3;1;3;1;1;-;1
mun1520;260500;260500 CUPIRA;4;9;10;8;2;4;6;4;1;5
mun1521;260510;260510 CUSTODIA;1;8;2;6;9;3;4;4;4;6
mun1522;260515;260515 DORMENTES;2;-;4;2;1;2;1;2;1;1
mun1523;260520;260520 ESCADA;14;9;7;5;9;8;6;7;9;3
mun1524;260530;260530 EXU;3;8;5;-;5;6;3;9;6;3
mun1525;260540;260540 FEIRA NOVA;2;7;6;3;1;2;6;-;3;5
mun1526;260545;260545 FERNANDO DE NORONHA;1;-;1;-;-;1;1;-;-;-
mun1527;260550;260550 FERREIROS;-;2;4;1;1;2;1;2;2;-
mun1528;260560;260560 FLORES;1;4;4;1;3;-;2;-;3;2
mun1529;260570;260570 FLORESTA;3;4;7;5;5;-;4;2;3;3
mun1530;260580;260580 FREI MIGUELINHO;2;2;1;1;1;-;1;6;4;1
mun1531;260590;260590 GAMELEIRA;4;5;5;3;3;5;1;4;2;1
mun1532;260600;260600 GARANHUNS;14;13;19;14;16;20;17;20;16;17
mun1533;260610;260610 GLORIA DO GOITA;1;3;4;2;1;5;7;1;6;3
mun1534;260620;260620 GOIANA;10;19;14;7;11;10;6;5;14;10
mun1535;260630;260630 GRANITO;1;3;1;1;3;3;1;1;-;-
mun1536;260640;260640 GRAVATA;7;12;15;6;10;10;9;12;12;11
mun1537;260650;260650 IATI;3;-;4;-;1;5;2;6;1;1
mun1538;260660;260660 IBIMIRIM;3;6;2;1;2;2;-;7;4;4
mun1539;260670;260670 IBIRAJUBA;1;2;1;-;1;2;1;1;1;2
mun1540;260680;260680 IGARASSU;9;20;15;12;15;11;10;16;14;26
mun1541;260690;260690 IGUARACY;-;1;-;2;-;3;-;-;-;1
mun1542;260700;260700 INAJA;2;3;2;2;2;3;-;2;4;4
mun1543;260710;260710 INGAZEIRA;-;1;-;-;1;-;-;-;-;-
mun1544;260720;260720 IPOJUCA;16;26;18;19;9;20;8;17;15;13
mun1545;260730;260730 IPUBI;1;3;1;1;2;5;3;2;2;6
mun1546;260740;260740 ITACURUBA;-;1;-;-;1;-;-;-;2;-
mun1547;260750;260750 ITAIBA;5;3;2;4;7;1;2;5;3;9
mun1548;260760;260760 ILHA DE ITAMARACA;3;2;5;6;2;-;2;1;2;3
mun1549;260765;260765 ITAMBE;3;7;6;8;3;2;3;1;3;4
mun1550;260770;260770 ITAPETIM;-;1;-;2;-;-;-;3;-;-
mun1551;260775;260775 ITAPISSUMA;1;5;6;2;1;5;4;5;4;5
mun1552;260780;260780 ITAQUITINGA;-;2;1;3;3;1;3;1;2;1
mun1553;260790;260790 JABOATAO DOS GUARARAPES;98;182;139;94;103;86;115;97;94;111
mun1554;260795;260795 JAQUEIRA;3;2;-;-;2;-;1;2;1;1
mun1555;260800;260800 JATAUBA;3;1;4;3;3;5;5;3;3;2
mun1556;260805;260805 JATOBA;-;3;2;1;3;1;-;1;2;2
mun1557;260810;260810 JOAO ALFREDO;2;5;-;3;4;5;3;1;1;4
mun1558;260820;260820 JOAQUIM NABUCO;3;2;3;3;1;-;2;3;-;-
mun1559;260825;260825 JUCATI;-;-;4;-;3;3;2;-;-;1
mun1560;260830;260830 JUPI;1;3;3;2;1;4;3;1;-;2
mun1561;260840;260840 JUREMA;2;1;2;6;2;2;2;3;2;2
mun1562;260845;260845 LAGOA DO CARRO;-;7;1;4;1;2;1;2;3;3
mun1563;260850;260850 LAGOA DE ITAENGA;3;3;9;-;8;1;2;5;4;3
mun1564;260860;260860 LAGOA DO OURO;-;6;2;1;2;6;2;2;3;-
mun1565;260870;260870 LAGOA DOS GATOS;-;4;2;3;1;3;2;4;2;3
mun1566;260875;260875 LAGOA GRANDE;9;-;3;7;1;8;2;8;3;4
mun1567;260880;260880 LAJEDO;3;10;9;4;6;6;11;5;7;7
mun1568;260890;260890 LIMOEIRO;7;11;4;8;10;4;6;11;5;7
mun1569;260900;260900 MACAPARANA;3;4;6;1;1;3;6;4;6;1
mun1570;260910;260910 MACHADOS;1;3;1;-;1;1;1;5;-;1
mun1571;260915;260915 MANARI;-;4;2;2;1;2;4;6;2;3
mun1572;260920;260920 MARAIAL;-;-;1;-;1;4;-;4;2;-
mun1573;260930;260930 MIRANDIBA;1;2;2;1;2;-;1;-;5;4
mun1574;260940;260940 MORENO;9;9;17;13;12;6;10;9;3;11
mun1575;260950;260950 NAZARE DA MATA;1;4;5;7;1;2;3;1;2;6
mun1576;260960;260960 OLINDA;33;76;67;61;55;48;43;36;48;44
mun1577;260970;260970 OROBO;6;3;6;1;3;3;1;7;4;2
mun1578;260980;260980 OROCO;2;2;3;-;-;2;3;2;1;-
mun1579;260990;260990 OURICURI;4;17;9;2;9;9;11;8;5;5
mun1580;261000;261000 PALMARES;8;12;9;11;8;3;6;7;9;8
mun1581;261010;261010 PALMEIRINA;1;-;3;-;1;-;-;1;1;-
mun1582;261020;261020 PANELAS;7;5;4;10;2;3;6;3;4;5
mun1583;261030;261030 PARANATAMA;2;2;5;1;1;2;-;2;3;3
mun1584;261040;261040 PARNAMIRIM;1;5;7;4;5;5;5;3;1;1
mun1585;261050;261050 PASSIRA;3;4;5;4;1;2;2;4;2;4
mun1586;261060;261060 PAUDALHO;12;9;9;8;7;11;6;9;15;9
mun1587;261070;261070 PAULISTA;25;53;48;37;30;28;34;37;36;42
mun1588;261080;261080 PEDRA;4;2;2;3;2;4;4;2;1;2
mun1589;261090;261090 PESQUEIRA;7;7;9;5;10;7;10;12;5;12
mun1590;261100;261100 PETROLANDIA;2;5;6;4;3;2;5;7;4;3
mun1591;261110;261110 PETROLINA;52;70;73;78;77;78;76;87;72;58
mun1592;261120;261120 POCAO;1;1;3;-;-;1;-;1;1;1
mun1593;261130;261130 POMBOS;-;7;3;1;1;5;3;3;3;3
mun1594;261140;261140 PRIMAVERA;-;3;2;2;-;-;-;-;1;-
mun1595;261150;261150 QUIPAPA;2;2;2;2;1;3;1;4;3;2
mun1596;261153;261153 QUIXABA;-;1;-;-;-;1;-;2;2;1
mun1597;261160;261160 RECIFE;263;334;273;262;270;251;222;216;230;245
mun1598;261170;261170 RIACHO DAS ALMAS;3;4;1;4;4;3;3;3;5;3
mun1599;261180;261180 RIBEIRAO;2;9;9;8;4;7;3;6;5;3
mun1600;261190;261190 RIO FORMOSO;3;6;6;6;5;2;4;4;3;3
mun1601;261200;261200 SAIRE;-;2;2;-;3;1;1;2;2;-
mun1602;261210;261210 SALGADINHO;1;-;-;-;2;1;-;-;1;1
mun1603;261220;261220 SALGUEIRO;11;15;5;5;6;1;4;8;9;12
mun1604;261230;261230 SALOA;2;1;1;2;1;1;-;4;-;2
mun1605;261240;261240 SANHARO;-;6;5;5;3;3;4;4;1;3
mun1606;261245;261245 SANTA CRUZ;2;8;2;-;-;3;-;2;1;1
mun1607;261247;261247 SANTA CRUZ DA BAIXA VERDE;-;-;2;-;2;1;2;1;3;-
mun1608;261250;261250 SANTA CRUZ DO CAPIBARIBE;19;14;14;10;8;7;18;15;10;15
mun1609;261255;261255 SANTA FILOMENA;2;3;1;-;1;1;1;2;1;4
mun1610;261260;261260 SANTA MARIA DA BOA VISTA;9;10;11;8;7;5;7;3;7;5
mun1611;261270;261270 SANTA MARIA DO CAMBUCA;3;1;-;1;2;3;4;4;4;1
mun1612;261280;261280 SANTA TEREZINHA;3;1;-;1;1;-;2;1;-;2
mun1613;261290;261290 SAO BENEDITO DO SUL;1;1;-;1;1;3;2;-;1;1
mun1614;261300;261300 SAO BENTO DO UNA;5;6;4;5;4;12;5;6;7;6
mun1615;261310;261310 SAO CAITANO;5;11;7;2;9;4;6;8;8;2
mun1616;261320;261320 SAO JOAO;3;2;4;7;3;6;6;6;-;2
mun1617;261330;261330 SAO JOAQUIM DO MONTE;4;-;-;2;5;4;4;1;5;2
mun1618;261340;261340 SAO JOSE DA COROA GRANDE;3;3;6;5;3;6;3;2;6;4
mun1619;261350;261350 SAO JOSE DO BELMONTE;3;5;5;4;5;2;2;6;6;5
mun1620;261360;261360 SAO JOSE DO EGITO;4;3;4;2;3;3;2;4;5;1
mun1621;261370;261370 SAO LOURENCO DA MATA;15;30;24;17;14;16;23;20;15;18
mun1622;261380;261380 SAO VICENTE FERRER;-;2;5;4;1;2;4;4;3;2
mun1623;261390;261390 SERRA TALHADA;2;12;5;11;8;2;10;5;7;8
mun1624;261400;261400 SERRITA;2;3;2;-;2;-;1;2;3;4
mun1625;261410;261410 SERTANIA;4;3;6;5;4;5;4;3;7;4
mun1626;261420;261420 SIRINHAEM;3;7;8;6;7;6;8;5;9;6
mun1627;261430;261430 MOREILANDIA;-;2;3;1;1;2;-;1;1;-
mun1628;261440;261440 SOLIDAO;-;-;1;2;2;-;-;1;-;1
mun1629;261450;261450 SURUBIM;8;12;10;9;5;10;6;6;10;10
mun1630;261460;261460 TABIRA;2;6;6;1;1;2;2;-;4;3
mun1631;261470;261470 TACAIMBO;1;3;-;2;-;2;2;5;3;-
mun1632;261480;261480 TACARATU;1;1;3;2;3;1;2;1;1;2
mun1633;261485;261485 TAMANDARE;2;4;6;4;5;7;6;5;4;3
mun1634;261500;261500 TAQUARITINGA DO NORTE;2;2;-;4;4;3;3;5;3;7
mun1635;261510;261510 TEREZINHA;-;-;-;2;2;1;3;1;-;1
mun1636;261520;261520 TERRA NOVA;1;3;1;-;1;-;2;2;-;1
mun1637;261530;261530 TIMBAUBA;9;7;14;5;6;2;4;6;10;8
mun1638;261540;261540 TORITAMA;4;5;6;6;6;6;13;10;7;7
mun1639;261550;261550 TRACUNHAEM;3;4;3;3;1;2;2;1;5;2
mun1640;261560;261560 TRINDADE;-;4;6;4;7;8;8;2;7;-
mun1641;261570;261570 TRIUNFO;1;1;-;1;2;2;1;3;2;-
mun1642;261580;261580 TUPANATINGA;5;3;-;3;2;2;1;6;4;2
mun1643;261590;261590 TUPARETAMA;1;2;6;2;3;1;-;2;3;3
mun1644;261600;261600 VENTUROSA;-;-;2;4;4;1;4;-;3;3
mun1645;261610;261610 VERDEJANTE;1;3;-;-;1;2;1;-;1;-
mun1646;261618;261618 VERTENTE DO LERIO;3;2;1;1;3;1;-;1;2;-
mun1647;261620;261620 VERTENTES;-;5;3;4;3;3;4;-;4;5
mun1648;261630;261630 VICENCIA;1;5;3;2;1;5;6;3;3;3
mun1649;261640;261640 VITORIA DE SANTO ANTAO;14;23;23;21;13;26;16;16;10;17
mun1650;261650;261650 XEXEU;2;4;6;4;1;1;3;-;2;6
mun1651;270010;270010 AGUA BRANCA;-;2;4;2;2;3;5;4;3;3
mun1652;270020;270020 ANADIA;-;2;4;1;3;3;3;3;3;2
mun1653;270030;270030 ARAPIRACA;13;13;14;15;16;24;6;18;26;38
mun1654;270040;270040 ATALAIA;2;4;9;5;6;8;9;4;6;11
mun1655;270050;270050 BARRA DE SANTO ANTONIO;1;2;8;2;5;3;4;1;1;3
mun1656;270060;270060 BARRA DE SAO MIGUEL;2;1;9;3;-;3;1;2;1;4
mun1657;270070;270070 BATALHA;1;1;1;2;1;2;1;3;1;3
mun1658;270080;270080 BELEM;-;-;-;-;-;-;-;1;1;2
mun1659;270090;270090 BELO MONTE;2;-;1;2;-;-;-;-;2;-
mun1660;270100;270100 BOCA DA MATA;5;4;7;8;3;8;6;4;3;5
mun1661;270110;270110 BRANQUINHA;1;2;-;-;-;-;1;1;-;2
mun1662;270120;270120 CACIMBINHAS;-;-;3;1;1;-;1;1;-;1
mun1663;270130;270130 CAJUEIRO;3;2;2;3;2;4;4;4;6;4
mun1664;270135;270135 CAMPESTRE;1;1;2;1;-;1;1;-;1;1
mun1665;270140;270140 CAMPO ALEGRE;4;5;2;8;7;6;5;3;3;4
mun1666;270150;270150 CAMPO GRANDE;-;-;-;2;1;-;1;1;2;1
mun1667;270160;270160 CANAPI;4;3;1;2;4;5;3;4;4;3
mun1668;270170;270170 CAPELA;3;1;3;5;-;3;3;-;1;3
mun1669;270180;270180 CARNEIROS;-;2;1;2;5;3;2;3;2;4
mun1670;270190;270190 CHA PRETA;-;-;3;3;1;1;1;-;-;2
mun1671;270200;270200 COITE DO NOIA;2;-;-;1;-;3;-;-;1;-
mun1672;270210;270210 COLONIA LEOPOLDINA;-;-;2;1;2;4;-;3;1;1
mun1673;270220;270220 COQUEIRO SECO;-;-;-;1;1;1;2;1;2;2
mun1674;270230;270230 CORURIPE;5;2;4;4;1;2;1;3;4;5
mun1675;270235;270235 CRAIBAS;-;1;1;1;1;3;2;6;1;4
mun1676;270240;270240 DELMIRO GOUVEIA;1;3;7;2;5;7;6;6;4;5
mun1677;270250;270250 DOIS RIACHOS;2;2;-;1;1;2;1;3;-;5
mun1678;270255;270255 ESTRELA DE ALAGOAS;-;1;1;1;1;2;2;4;1;2
mun1679;270260;270260 FEIRA GRANDE;-;4;-;3;1;2;-;-;2;-
mun1680;270270;270270 FELIZ DESERTO;-;-;-;-;-;1;1;-;2;-
mun1681;270280;270280 FLEXEIRAS;3;3;3;2;2;1;2;-;1;-
mun1682;270290;270290 GIRAU DO PONCIANO;4;-;-;5;5;6;1;1;1;3
mun1683;270300;270300 IBATEGUARA;2;2;5;1;-;2;1;1;2;4
mun1684;270310;270310 IGACI;-;1;1;1;1;2;-;5;1;2
mun1685;270320;270320 IGREJA NOVA;-;-;1;1;1;1;1;1;1;3
mun1686;270330;270330 INHAPI;2;1;2;5;3;1;4;1;5;4
mun1687;270340;270340 JACARE DOS HOMENS;-;-;1;-;1;-;-;2;1;1
mun1688;270350;270350 JACUIPE;1;-;1;-;-;1;-;-;-;-
mun1689;270360;270360 JAPARATINGA;-;1;3;4;4;-;1;1;2;1
mun1690;270370;270370 JARAMATAIA;-;-;-;-;-;3;-;1;-;-
mun1691;270375;270375 JEQUIA DA PRAIA;-;1;-;-;-;2;-;5;1;-
mun1692;270380;270380 JOAQUIM GOMES;-;2;2;1;1;2;2;3;2;2
mun1693;270390;270390 JUNDIA;-;1;1;-;-;-;-;1;1;1
mun1694;270400;270400 JUNQUEIRO;3;2;3;1;7;5;3;4;5;3
mun1695;270410;270410 LAGOA DA CANOA;1;-;1;1;2;2;-;2;2;1
mun1696;270420;270420 LIMOEIRO DE ANADIA;2;1;-;2;3;2;-;3;3;1
mun1697;270430;270430 MACEIO;92;121;149;133;114;154;122;147;138;156
mun1698;270440;270440 MAJOR ISIDORO;2;2;-;3;1;1;1;2;1;4
mun1699;270450;270450 MARAGOGI;6;4;4;4;5;2;5;5;4;2
mun1700;270460;270460 MARAVILHA;1;1;1;1;2;3;3;3;1;6
mun1701;270470;270470 MARECHAL DEODORO;2;12;12;6;8;10;6;15;8;15
mun1702;270480;270480 MARIBONDO;-;-;1;-;2;-;1;2;1;3
mun1703;270490;270490 MAR VERMELHO;-;-;-;-;-;-;-;-;2;-
mun1704;270500;270500 MATA GRANDE;1;3;2;1;2;3;6;4;-;-
mun1705;270510;270510 MATRIZ DE CAMARAGIBE;7;2;5;4;9;2;6;6;3;4
mun1706;270520;270520 MESSIAS;1;2;6;3;2;2;1;2;2;1
mun1707;270530;270530 MINADOR DO NEGRAO;-;-;-;-;1;-;-;-;-;1
mun1708;270540;270540 MONTEIROPOLIS;-;-;1;-;1;2;2;1;2;3
mun1709;270550;270550 MURICI;1;-;5;2;2;2;2;6;7;2
mun1710;270560;270560 NOVO LINO;1;-;2;1;1;1;4;-;-;-
mun1711;270570;270570 OLHO D'AGUA DAS FLORES;2;1;2;-;4;2;5;3;1;2
mun1712;270580;270580 OLHO D'AGUA DO CASADO;-;1;1;-;6;-;2;3;-;2
mun1713;270590;270590 OLHO D'AGUA GRANDE;-;-;1;-;3;-;-;-;1;-
mun1714;270600;270600 OLIVENCA;1;-;1;2;1;1;4;3;3;3
mun1715;270610;270610 OURO BRANCO;-;3;1;1;2;3;1;4;2;3
mun1716;270620;270620 PALESTINA;-;1;-;1;-;-;1;2;1;1
mun1717;270630;270630 PALMEIRA DOS INDIOS;3;2;6;3;3;7;9;11;10;7
mun1718;270640;270640 PAO DE ACUCAR;1;6;1;3;3;6;4;3;1;1
mun1719;270642;270642 PARICONHA;-;2;-;-;5;2;1;-;2;1
mun1720;270644;270644 PARIPUEIRA;2;3;4;2;-;4;1;2;3;5
mun1721;270650;270650 PASSO DE CAMARAGIBE;3;2;2;3;2;3;2;2;3;1
mun1722;270660;270660 PAULO JACINTO;-;1;1;1;-;-;-;1;-;-
mun1723;270670;270670 PENEDO;1;4;-;4;4;1;3;4;7;3
mun1724;270680;270680 PIACABUCU;2;1;1;-;1;1;2;2;2;1
mun1725;270690;270690 PILAR;1;2;5;2;1;5;11;7;9;3
mun1726;270700;270700 PINDOBA;-;-;-;-;-;-;-;-;1;-
mun1727;270710;270710 PIRANHAS;2;4;4;5;3;4;2;5;1;7
mun1728;270720;270720 POCO DAS TRINCHEIRAS;2;1;1;3;7;3;3;3;2;7
mun1729;270730;270730 PORTO CALVO;6;4;6;6;1;9;5;2;-;3
mun1730;270740;270740 PORTO DE PEDRAS;-;2;3;2;2;3;1;1;1;-
mun1731;270750;270750 PORTO REAL DO COLEGIO;1;4;4;-;2;4;2;1;1;1
mun1732;270760;270760 QUEBRANGULO;1;-;1;-;1;-;-;1;-;2
mun1733;270770;270770 RIO LARGO;6;13;13;5;11;8;6;12;12;13
mun1734;270780;270780 ROTEIRO;-;3;-;1;4;1;2;3;3;3
mun1735;270790;270790 SANTA LUZIA DO NORTE;2;-;2;3;3;3;1;1;2;-
mun1736;270800;270800 SANTANA DO IPANEMA;9;9;5;4;14;13;8;13;7;6
mun1737;270810;270810 SANTANA DO MUNDAU;-;1;-;-;1;-;-;1;-;-
mun1738;270820;270820 SAO BRAS;-;1;1;-;-;-;-;-;-;-
mun1739;270830;270830 SAO JOSE DA LAJE;2;3;4;5;3;1;1;-;2;4
mun1740;270840;270840 SAO JOSE DA TAPERA;4;2;7;7;8;8;9;4;1;8
mun1741;270850;270850 SAO LUIS DO QUITUNDE;4;5;8;5;3;3;6;2;1;3
mun1742;270860;270860 SAO MIGUEL DOS CAMPOS;9;7;10;16;18;8;8;11;14;19
mun1743;270870;270870 SAO MIGUEL DOS MILAGRES;3;-;1;1;2;1;4;1;1;1
mun1744;270880;270880 SAO SEBASTIAO;4;4;3;1;6;2;3;5;1;1
mun1745;270890;270890 SATUBA;1;2;3;2;5;1;5;5;3;1
mun1746;270895;270895 SENADOR RUI PALMEIRA;-;2;1;4;2;4;2;2;2;1
mun1747;270900;270900 TANQUE D'ARCA;1;-;1;-;-;2;-;1;1;-
mun1748;270910;270910 TAQUARANA;1;4;1;1;1;1;-;-;2;3
mun1749;270915;270915 TEOTONIO VILELA;6;9;4;4;9;6;3;7;11;5
mun1750;270920;270920 TRAIPU;-;-;3;1;6;2;2;1;-;5
mun1751;270930;270930 UNIAO DOS PALMARES;1;3;6;4;3;5;3;3;3;10
mun1752;270940;270940 VICOSA;-;-;6;3;4;4;4;5;6;3
mun1753;280010;280010 AMPARO DE SAO FRANCISCO;-;-;2;1;1;-;-;1;1;-
mun1754;280020;280020 AQUIDABA;2;4;4;2;1;3;3;1;2;2
mun1755;280030;280030 ARACAJU;114;127;116;106;114;95;98;106;100;111
mun1756;280040;280040 ARAUA;-;3;4;5;1;3;2;-;-;3
mun1757;280050;280050 AREIA BRANCA;3;3;3;3;2;1;2;3;5;2
mun1758;280060;280060 BARRA DOS COQUEIROS;8;3;9;4;6;-;4;4;11;12
mun1759;280067;280067 BOQUIM;6;1;5;3;5;2;7;5;3;3
mun1760;280070;280070 BREJO GRANDE;1;1;1;-;1;-;1;2;1;-
mun1761;280100;280100 CAMPO DO BRITO;1;7;5;3;3;3;4;4;4;2
mun1762;280110;280110 CANHOBA;2;1;-;-;-;1;1;-;1;-
mun1763;280120;280120 CANINDE DE SAO FRANCISCO;1;4;4;5;8;11;3;8;6;7
mun1764;280130;280130 CAPELA;11;3;8;4;4;9;9;7;5;2
mun1765;280140;280140 CARIRA;2;3;5;2;4;4;4;3;2;2
mun1766;280150;280150 CARMOPOLIS;2;7;4;3;2;2;3;5;2;3
mun1767;280160;280160 CEDRO DE SAO JOAO;3;2;1;-;-;1;-;-;-;1
mun1768;280170;280170 CRISTINAPOLIS;3;6;3;7;2;3;4;2;4;3
